Models,layer,accuracy,f1,freq_diff
,11,0.9517233097153835,0.9135111876075732,0.0842945874001774
,12,0.9523237660622073,0.9146787019127444,0.0851818988464951
,13,0.95112285336856,0.9123033828916182,0.0860692102928127
,14,0.9498018494055482,0.9097971514889944,0.1029281277728483
,15,0.946079020055242,0.9037100579026378,0.0967169476486246
SmolLM2-360M,0,0.4485285285285285,0.4388216599437721,-0.0364120781527531
,1,0.7045045045045045,0.5833333333333334,0.0674955595026642
,2,0.788948948948949,0.6745693646971661,0.1518650088809946
,3,0.8281081081081081,0.7241179872758821,0.1349911190053285
,4,0.8390390390390391,0.7347585114806018,0.1527531083481349
,5,0.8699099099099099,0.7694272940174579,0.1731793960923623
,6,0.8735135135135135,0.779291553133515,0.1714031971580817
,7,0.8664264264264264,0.7774219375500401,0.1492007104795737
,8,0.888048048048048,0.8015332197614992,0.1811722912966252
,9,0.8821621621621621,0.7948985992055195,0.1625222024866786
,10,0.8661861861861861,0.7798418972332016,0.1483126110124334
,11,0.8682282282282282,0.7849441286022348,0.1438721136767318
,12,0.8944144144144144,0.8116563102635526,0.1793960923623446
,13,0.8936936936936937,0.8135664630292817,0.164298401420959
,14,0.8839639639639639,0.8051633723275514,0.1349911190053286
,15,0.885045045045045,0.8067057160169663,0.1358792184724689
,16,0.8923723723723723,0.8115271350441733,0.1607460035523978
,17,0.8884084084084084,0.8125126135216952,0.1323268206039076
,18,0.8942942942942943,0.8148148148148148,0.1651865008880995
,19,0.8939339339339339,0.8170706442925212,0.127886323268206
,20,0.8874474474474474,0.8068439497010925,0.1465364120781528
,21,0.889009009009009,0.8101889893179951,0.127886323268206
,22,0.8897297297297297,0.8104872006606111,0.125222024866785
,23,0.8962162162162162,0.8198498748957465,0.1332149200710479
,24,0.8818018018018018,0.7988552739165985,0.1438721136767318
,25,0.8873273273273273,0.8034367141659682,0.1625222024866784
,26,0.8815615615615615,0.7961967755270773,0.1598579040852574
,27,0.885045045045045,0.797802662159307,0.1740674955595027
,28,0.8857657657657657,0.8015856457333611,0.1678507992895205
,29,0.8827627627627628,0.7970049916805324,0.1563055062166962
,30,0.8760360360360361,0.7876543209876543,0.1598579040852574
,31,0.8694294294294295,0.7804483942637851,0.1474245115452931
