Models,layer,pooling,accuracy,f1,freq_diff,cohens_h
,28,,0.9519967064635652,0.951917525773196,0.0962431329646905,0.3981633560857638
,29,,0.9503499382461918,0.9500869133349888,0.1236664576561666,0.5022219846355704
,30,,0.9482091395636064,0.948268772102969,0.1089134108312789,0.4589506649300872
,31,,0.9492795389048992,0.9492920645373724,0.1026398946491043,0.4198789019743683
,32,,0.9487031700288184,0.9486862696647722,0.1147215551981791,0.4706884969742688
,33,,0.9472210786331824,0.9473424792573728,0.1095900606503921,0.4555032177154974
,34,,0.9468093865788392,0.946611570247934,0.1142737898832249,0.4431967021764786
,35,,0.9426924660354056,0.9421830868915102,0.1164621978434438,0.4216319303351885
Qwen3-4B-Base,0,last_token,0.7993412927130507,0.7881790525858322,0.3890952539677649,0.8739696608866132
,1,,0.8661177439275421,0.8634302032588611,0.2796788574341647,0.7324395170443534
,2,,0.8929600658707287,0.8918109187749668,0.2544591463168202,0.7483400251605914
,3,,0.9137916838205022,0.9132919254658384,0.2041277639704578,0.6688943823252957
,4,,0.9306710580485796,0.930147668823627,0.174480818318123,0.6161529234359415
,5,,0.9416220666941127,0.9411862297801742,0.1640593707196697,0.6151620849472774
,6,,0.9410456978180322,0.9399429625901694,0.1808599735022169,0.6374002357213335
,7,,0.948044462741869,0.9473332776896752,0.1469166416240875,0.5424708211283895
,8,,0.95356113627007,0.9533189869226948,0.1134034685605925,0.4723352747743101
,9,,0.9542198435570194,0.9539430086149768,0.129228111018588,0.5601851817719892
,10,,0.9546315356113628,0.9541940310915288,0.1147743746991388,0.4630369790060276
,11,,0.9559489501852614,0.9557887777869598,0.0961374939627711,0.4118696459181379
,12,,0.9548785508439688,0.9546582823101109,0.1019632448299912,0.4224769118120361
,13,,0.9594071634417456,0.9591650791021288,0.1094316021475129,0.4822998443084376
,14,,0.9577603952243722,0.957585779247623,0.0878340283232569,0.3807558332083656
,15,,0.9594071634417456,0.9593870994315842,0.08070779731877,0.3671087443999568
,16,,0.9603128859613008,0.9599800730654268,0.113297829558673,0.4905551917423119
,17,,0.9573487031700288,0.9573522147208958,0.0756819417729025,0.3364221874695756
,18,,0.9579250720461095,0.9578834583367676,0.0851978550480837,0.3819669604036839
,19,,0.9593248250308768,0.9589359933499584,0.084820515734409,0.3486394953585114
,20,,0.9598188554960888,0.9595222295952224,0.1043529271006855,0.4569055183979129
,21,,0.9596541786743517,0.9594438006952491,0.0998804758716919,0.4399903524380826
