model,layer,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_n,high_freq_accuracy,hf_precision,hf_recall,hf_f1,hf_auc,hf_n,low_freq_accuracy,lf_precision,lf_recall,lf_f1,lf_auc,lf_n,accuracy_difference,cohens_h,z_statistic,p_value,p_value_corrected,significant_fdr,n_high,n_low
,18,0.981144503911074,0.977447295309691,0.985013175230566,0.98121565089,0.998093613234847,12145,0.996257018091079,1,0.996257018091079,0.998125,,1603,0.95445798588839,1,0.95445798588839,0.976698391860846,,1559,0.0417990322026892,0.30768310376595,7.50828380317084,5.99520433297584e-14,1.1285090509131e-13,True,1603,1559
,19,0.981144503911074,0.977291292272504,0.985177865612648,0.981218732059378,0.998052108438243,12145,0.995633187772925,1,0.995633187772925,0.99781181619256,,1603,0.955740859525336,1,0.955740859525336,0.977369629386684,,1559,0.039892328247589,0.291664250450868,7.20630953124847,5.74873482150906e-13,8.75997687087095e-13,True,1603,1559
,20,0.981144503911074,0.977603400359653,0.984848484848484,0.981212568709492,0.998059701605868,12145,0.994385527136618,1,0.994385527136618,0.997184860807006,,1603,0.95445798588839,1,0.95445798588839,0.976698391860846,,1559,0.0399275412482288,0.280119234568584,7.03470214298335,1.9968471320908e-12,2.66246284278774e-12,True,1603,1559
,21,0.981144503911074,0.980747079150896,0.981554677206851,0.981150711992756,0.997908516214775,12145,0.994385527136618,1,0.994385527136618,0.997184860807006,,1603,0.948043617703656,1,0.948043617703656,0.97332894303589,,1559,0.0463419094329626,0.30992158785716,7.72757506286831,1.08801856413265e-14,2.8421709430404e-14,True,1603,1559
,22,0.980815150267599,0.980101956914981,0.981554677206851,0.980827779149181,0.997622362269159,12145,0.993761696818465,1,0.993761696818465,0.996871088861076,,1603,0.950609364977549,1,0.950609364977549,0.974679381782308,,1559,0.0431523318409157,0.290092170499806,7.41639468586989,1.20348175869366e-13,2.13952312656652e-13,True,1603,1559
,23,0.979991766158913,0.981655924640555,0.978260869565217,0.979955456570155,0.997502241069187,12145,0.988771054273237,1,0.988771054273237,0.99435382685069,,1603,0.945477870429762,1,0.945477870429762,0.971974942301351,,1559,0.0432931838434749,0.259018656648444,6.85617550801517,7.07278680067702e-12,7.80445440074706e-12,True,1603,1559
,24,0.981473857554549,0.9817103311913,0.981225296442687,0.981467753891771,0.997526783271687,12145,0.991890205864005,1,0.991890205864005,0.995928593798935,,1603,0.950609364977549,1,0.950609364977549,0.974679381782308,,1559,0.0412808408864553,0.26786960801485,6.97890724747001,2.97495361678556e-12,3.78965235260973e-12,True,1603,1559
,25,0.981803211198023,0.98093046194312,0.982707509881423,0.981818181818181,0.997713358247601,12145,0.995009357454772,1,0.995009357454772,0.997498436522826,,1603,0.948685054522129,1,0.948685054522129,0.973666886109282,,1559,0.0463243029326426,0.315616366918259,7.80934320083065,5.77315972805081e-15,1.67946464816023e-14,True,1603,1559
,26,0.980815150267599,0.986016314299983,0.975461133069828,0.980710323702293,0.997804747443651,12145,0.993137866500311,1,0.993137866500311,0.996557120500782,,1603,0.933290570878768,1,0.933290570878768,0.965494359654943,,1559,0.0598472956215434,0.356620167165332,8.98731853574555,0.0,0.0,True,1603,1559
,27,0.980568135034993,0.985362608117099,0.97562582345191,0.980470043032108,0.997716029415497,12145,0.988771054273237,1,0.988771054273237,0.99435382685069,,1603,0.937139191789608,1,0.937139191789608,0.967549668874172,,1559,0.0516318624836289,0.294516983869463,7.72137417676125,1.15463194561016e-14,2.8421709430404e-14,True,1603,1559
,28,0.980321119802387,0.976786006212195,0.984025032938076,0.980392156862745,0.997468641302449,12145,0.998752339363693,1,0.998752339363693,0.999375780274656,,1603,0.944194996792815,1,0.944194996792815,0.97129660178159,,1559,0.0545573425708771,0.406310922502365,9.1660511889745,0.0,0.0,True,1603,1559
,29,0.97892136681762,0.975474166121648,0.982542819499341,0.978995733508368,0.997566010118004,12145,0.996880848409232,1,0.996880848409232,0.998437988128709,,1603,0.942270686337395,1,0.942270686337395,0.970277410832232,,1559,0.0546101620718368,0.3735295591997,8.8892486888108,0.0,0.0,True,1603,1559
,30,0.979415397282832,0.975653594771241,0.983366271409749,0.979494750656168,0.997584979477837,12145,0.996880848409232,1,0.996880848409232,0.998437988128709,,1603,0.946760744066709,1,0.946760744066709,0.972652388797364,,1559,0.0501201043425232,0.353911859032927,8.45809857230972,0.0,0.0,True,1603,1559
,31,0.978839028406751,0.980023113752682,0.97760210803689,0.978811113859345,0.997546566185194,12145,0.991266375545851,1,0.991266375545851,0.995614035087719,,1603,0.937780628608082,1,0.937780628608082,0.967891426679907,,1559,0.0534857469377694,0.317019101055195,8.17007839054207,2.22044604925031e-16,7.105427357601e-16,True,1603,1559
Qwen2.5-1.5B,0,0.763688760806916,0.780385288966725,0.733860342555994,0.75640808012222,0.852351126728448,12145,0.887651331719128,1,0.887651331719128,0.940482298614674,,2065,0.594823295171727,1,0.594823295171727,0.745942571785268,,2009,0.292828036547401,0.696391970685457,21.3909162082858,0.0,0.0,True,2065,2009
,1,0.842651296829971,0.878616924476797,0.795125164690382,0.834788622806259,0.923435677300789,12145,0.937530266343825,1,0.937530266343825,0.967758060484878,,2065,0.62966650074664,1,0.62966650074664,0.77275503970678,,2009,0.307863765597185,0.803229353855358,23.9424796448062,0.0,0.0,True,2065,2009
,2,0.879785920131741,0.918359941944847,0.833662714097496,0.87396408839779,0.951940726865733,12145,0.942372881355932,1,0.942372881355932,0.970331588132635,,2065,0.694375311100049,1,0.694375311100049,0.819623971797884,,2009,0.247997570255882,0.686673076976581,20.6023949996436,0.0,0.0,True,2065,2009
,3,0.902346644709757,0.925758103868943,0.874835309617918,0.899576629974597,0.967905714335922,12145,0.962711864406779,1,0.962711864406779,0.981001727115716,,2065,0.751119960179193,1,0.751119960179193,0.857873791927231,,2009,0.211591904227586,0.655965134689947,19.3652823286925,0.0,0.0,True,2065,2009
,4,0.914779744750926,0.91856406847266,0.91024374176548,0.914384978079245,0.972755009483866,12145,0.980629539951573,1,0.980629539951573,0.990220048899755,,2065,0.804878048780487,1,0.804878048780487,0.891891891891891,,2009,0.175751491171086,0.635781330016492,18.2157762498521,0.0,0.0,True,2065,2009
,5,0.92564841498559,0.923202881938758,0.928524374176548,0.925855981607685,0.977992884984988,12145,0.981113801452784,1,0.981113801452784,0.99046687851381,,2065,0.846689895470383,1,0.846689895470383,0.916981132075471,,2009,0.134423905982401,0.528900641332115,15.3671236417597,0.0,0.0,True,2065,2009
,6,0.934623301770275,0.949574105621805,0.91798418972332,0.933511974543627,0.981902959534708,12145,0.980629539951573,1,0.980629539951573,0.990220048899755,,2065,0.816326530612244,1,0.816326530612244,0.898876404494382,,2009,0.164303009339328,0.606559917126639,17.4464625750271,0.0,0.0,True,2065,2009
,7,0.94055166735282,0.943762441937624,0.936923583662714,0.940330578512396,0.984683333452654,12145,0.984987893462469,1,0.984987893462469,0.992437179799951,,2065,0.86112493777999,1,0.86112493777999,0.925381117945974,,2009,0.123862955682479,0.518081417496809,14.9072073943672,0.0,0.0,True,2065,2009
,8,0.941292713050638,0.950109188644381,0.931488801054018,0.94070686070686,0.985289959749703,12145,0.976755447941888,1,0.976755447941888,0.988241058304752,,2065,0.859631657541065,1,0.859631657541065,0.924518201284796,,2009,0.117123790400823,0.461937855884087,13.6987436133172,0.0,0.0,True,2065,2009
,9,0.942033758748456,0.951395896400941,0.9316534914361,0.941421201531036,0.985856179547607,12145,0.984503631961259,1,0.984503631961259,0.992191312835529,,2065,0.847685415629666,1,0.847685415629666,0.917564655172413,,2009,0.136818216331592,0.552244182402752,15.8286052777636,0.0,0.0,True,2065,2009
,10,0.945244956772334,0.948564791770366,0.941534914361001,0.945036779899165,0.98659027614615,12145,0.988377723970944,1,0.988377723970944,0.994154895275207,,2065,0.865107018417122,1,0.865107018417122,0.927675473712303,,2009,0.123270705553821,0.53612797797529,15.1782232530646,0.0,0.0,True,2065,2009
,11,0.943351173322354,0.951981195433176,0.933794466403162,0.942800133022946,0.986812037318466,12145,0.983535108958837,1,0.983535108958837,0.99169921875,,2065,0.856147336983573,1,0.856147336983573,0.922499329578975,,2009,0.127387771975263,0.520693507859382,15.0457366958244,0.0,0.0,True,2065,2009
