Models,layer,r2,rmse,spearman_r,spearman_p,best_alpha,n_train,n_test
,31,0.760137677192688,1.183853775518878,0.8853062370163486,0.0,1.0,21991,4713
,32,0.7565066814422607,1.192780499447558,0.8834807829556143,0.0,1.0,21991,4713
,33,0.7513776421546936,1.205277733987541,0.879566024335045,0.0,1.0,21991,4713
,34,0.7530257701873779,1.201276126462339,0.8792647299657353,0.0,1.0,21991,4713
,35,0.7407149076461792,1.230851855507765,0.87190931287765,0.0,100.0,21991,4713
Qwen2.5-3B,0,0.5309514403343201,1.635568291829341,0.7226890243205341,0.0,100.0,28336,6073
,1,0.6204460859298706,1.471283938552034,0.7829243576431728,0.0,100.0,28336,6073
,2,0.663999080657959,1.384299389429832,0.8150196645166355,0.0,100.0,28336,6073
,3,0.6838999390602112,1.342678618811324,0.8292099939037921,0.0,100.0,28336,6073
,4,0.6933780908584595,1.322395442298009,0.837249386463427,0.0,0.1,28336,6073
,5,0.704841673374176,1.297440003641524,0.8429203916880166,0.0,0.1,28336,6073
,6,0.7171673774719238,1.270060877730105,0.8497264017267415,0.0,0.1,28336,6073
,7,0.7328172922134399,1.234422900079318,0.8590492683726711,0.0,0.1,28336,6073
,8,0.7448428869247437,1.206323064063799,0.8661453582266131,0.0,0.1,28336,6073
,9,0.7683687210083008,1.149365990475332,0.8795432092253628,0.0,0.1,28336,6073
,10,0.7823019027709961,1.114261449996802,0.8872356537794512,0.0,0.1,28336,6073
,11,0.7827032208442688,1.113233919978007,0.8879614582034223,0.0,0.1,28336,6073
,12,0.7897017002105713,1.095160310759209,0.8916502845517068,0.0,0.1,28336,6073
,13,0.7947481274604797,1.081940354478381,0.8919208386358318,0.0,0.1,28336,6073
,14,0.7998360991477966,1.068446237774377,0.8944064270670972,0.0,0.1,28336,6073
,15,0.8047547936439514,1.055236842883413,0.8971285040227305,0.0,0.1,28336,6073
,16,0.8041719198226929,1.05681091177445,0.8971421233834971,0.0,0.1,28336,6073
,17,0.804696798324585,1.055393576045001,0.8981635535952105,0.0,0.1,28336,6073
,18,0.8079301714897156,1.046620750867837,0.8998457344295198,0.0,0.1,28336,6073
,19,0.811435341835022,1.037026612163804,0.9024349933289036,0.0,0.1,28336,6073
,20,0.8075572848320007,1.047636296183953,0.8996606765536164,0.0,0.1,28336,6073
,21,0.8079536557197571,1.046556794500418,0.8994740453506069,0.0,0.1,28336,6073
,22,0.8065690994262695,1.050322648838976,0.8991350858209872,0.0,0.1,28336,6073
,23,0.8089426755905151,1.043858409436848,0.8998958825007091,0.0,0.1,28336,6073
,24,0.8110402226448059,1.038112521616186,0.9007274961234902,0.0,0.1,28336,6073
,25,0.8093366622924805,1.042781627313491,0.9000460591979473,0.0,0.1,28336,6073
,26,0.8068462014198303,1.04957000238348,0.8990981091823887,0.0,1.0,28336,6073
,27,0.8026230335235596,1.060982012482091,0.8976861606177234,0.0,1.0,28336,6073
,28,0.7958691716194153,1.078981639705851,0.8938586724346348,0.0,1.0,28336,6073
,29,0.7943030595779419,1.083112761466325,0.8930967726183463,0.0,10.0,28336,6073
,30,0.7879668474197388,1.099668240369041,0.8896039340413463,0.0,100.0,28336,6073
,31,0.7846238017082214,1.108303304614412,0.8867618723065436,0.0,100.0,28336,6073
,32,0.7787270545959473,1.123372914629094,0.8840373416725544,0.0,100.0,28336,6073
,33,0.755691647529602,1.180399345210717,0.870894395563066,0.0,100.0,28336,6073
,34,0.7495291233062744,1.195193914377788,0.8678784544385327,0.0,100.0,28336,6073
,35,0.7266513705253601,1.248585329625304,0.8586675780897117,0.0,100.0,28336,6073
SmolLM3-3B-Base,0,0.4021387696266174,1.846545347171844,0.5964706677504051,0.0,100.0,28336,6073
,1,0.6260439157485962,1.460394120779248,0.7907013962477393,0.0,0.1,28336,6073
,2,0.7015082836151123,1.304745884120082,0.8431018049695561,0.0,0.1,28336,6073
,3,0.7318460941314697,1.236664351172392,0.8627373522879462,0.0,0.1,28336,6073
,4,0.7698897123336792,1.145586224121907,0.8846669012860082,0.0,0.1,28336,6073
,5,0.7848787307739258,1.107647262323685,0.8930464028239277,0.0,0.1,28336,6073
,6,0.7921525239944458,1.088760055951039,0.8958483791699923,0.0,0.1,28336,6073
,7,0.7973742485046387,1.074996666570419,0.8986317177319219,0.0,0.1,28336,6073
,8,0.8092837929725647,1.042926230260385,0.9033615258856564,0.0,0.1,28336,6073
,9,0.816625714302063,1.022654750930702,0.9071882111981252,0.0,0.1,28336,6073
,10,0.8175901174545288,1.01996185446451,0.9077305875066728,0.0,0.1,28336,6073
,11,0.821240246295929,1.009705296379948,0.9090933695010476,0.0,0.1,28336,6073
,12,0.8246225118637085,1.000107520998792,0.9108101379728564,0.0,0.1,28336,6073
,13,0.8234484195709229,1.003449688709402,0.9101988364451764,0.0,0.1,28336,6073
,14,0.8242028951644897,1.001303359858869,0.910230752734262,0.0,0.1,28336,6073
,15,0.8252728581428528,0.9982514890186296,0.9108630459210176,0.0,0.1,28336,6073
,16,0.8267364501953125,0.9940618097805972,0.9110499197337268,0.0,0.1,28336,6073
,17,0.826138436794281,0.9957757479618764,0.9110304112823828,0.0,0.1,28336,6073
,18,0.8252003788948059,0.99845853852029,0.9113746950442708,0.0,0.1,28336,6073
,19,0.825359046459198,0.99800521853235,0.9119957312434016,0.0,0.1,28336,6073
,20,0.8271161913871765,0.9929718761860088,0.912398320109135,0.0,0.1,28336,6073
,21,0.829498291015625,0.9861073161814804,0.913273829890664,0.0,0.1,28336,6073
,22,0.8265289664268494,0.994656831614302,0.911822067655342,0.0,0.1,28336,6073
,23,0.8207854628562927,1.010988951704743,0.9089374036988362,0.0,0.1,28336,6073
,24,0.8197579979896545,1.01388283006318,0.9089014286909664,0.0,0.1,28336,6073
,25,0.8166515231132507,1.022582650796483,0.9081774671333134,0.0,0.1,28336,6073
,26,0.8123148679733276,1.034605347492226,0.9051800374188438,0.0,0.1,28336,6073
,27,0.8076071739196777,1.047500480433242,0.902311341662,0.0,0.1,28336,6073
,28,0.8033363223075867,1.05906312115725,0.9002245676300987,0.0,0.1,28336,6073
,29,0.7958182096481323,1.079116310260507,0.8971754541845526,0.0,0.1,28336,6073
,30,0.7922138571739197,1.088599366236118,0.8951873174385231,0.0,0.1,28336,6073
,31,0.7864088416099548,1.10370098346467,0.8922134436300827,0.0,0.1,28336,6073
,32,0.7819470167160034,1.115169329508419,0.8893575018288485,0.0,0.1,28336,6073
,33,0.7771924734115601,1.127261537764828,0.886436477275457,0.0,0.1,28336,6073
,34,0.782517671585083,1.113709056371391,0.8880269759854229,0.0,100.0,28336,6073
,35,0.7435881495475769,1.2092854212821,0.8694005791168781,0.0,100.0,28336,6073
Llama-3.2-1B,0,0.5317033529281616,1.634256700716466,0.7107944862118777,0.0,100.0,28336,6073
,1,0.680689811706543,1.349479172163207,0.8249643663445854,0.0,100.0,28336,6073
,2,0.7514171004295349,1.19068096159534,0.872036178937021,0.0,100.0,28336,6073
,3,0.801399827003479,1.064264515256925,0.9002637460522249,0.0,100.0,28336,6073
,4,0.8184413313865662,1.017579296499446,0.9097091234293084,0.0,100.0,28336,6073
,5,0.8290007710456848,0.987544965323873,0.9148948417935334,0.0,100.0,28336,6073
,6,0.8309517502784729,0.9818951690758564,0.914817046937739,0.0,100.0,28336,6073
,7,0.83379727602005,0.9735962029617354,0.9164084084557482,0.0,100.0,28336,6073
,8,0.8372489809989929,0.9634333197360396,0.9178573784768056,0.0,100.0,28336,6073
,9,0.8331308364868164,0.9755460713807022,0.9156754397999638,0.0,100.0,28336,6073
,10,0.8276276588439941,0.9915019993879712,0.9124421120068767,0.0,100.0,28336,6073
,11,0.8219186067581177,1.007787718948752,0.9093536011321316,0.0,100.0,28336,6073
,12,0.8195456862449646,1.014479827823196,0.9076209817477016,0.0,100.0,28336,6073
,13,0.8138160705566406,1.030459418843834,0.9037795824710096,0.0,100.0,28336,6073
,14,0.8082613945007324,1.045717994946163,0.90124358386092,0.0,100.0,28336,6073
,15,0.7749301195144653,1.132970180718378,0.883522606039966,0.0,100.0,28336,6073
SmolLM2-360M,0,0.259594976902008,2.054917819382392,0.4069450009792171,5.313507759604904e-241,100.0,28336,6073
,1,0.4380456209182739,1.790236108967597,0.6383487757145838,0.0,100.0,28336,6073
,2,0.5301110744476318,1.637032854262011,0.7180175885028078,0.0,100.0,28336,6073
,3,0.575535774230957,1.555895082378627,0.7525626209109426,0.0,0.1,28336,6073
,4,0.5873673558235168,1.534057223788257,0.7631000973748913,0.0,0.1,28336,6073
,5,0.6008549928665161,1.508777289977332,0.7745779297368013,0.0,0.1,28336,6073
,6,0.6155349016189575,1.480772203733983,0.7847329630201308,0.0,0.1,28336,6073
,7,0.6259697079658508,1.460539003582067,0.7909483993688194,0.0,0.1,28336,6073
,8,0.6265686750411987,1.459369082714558,0.792757771370417,0.0,0.1,28336,6073
,9,0.6319243311882019,1.448866397766637,0.7965252141405385,0.0,0.1,28336,6073
,10,0.6400151252746582,1.432853819605955,0.8021969102116441,0.0,1.0,28336,6073
,11,0.6423383951187134,1.428222823183751,0.8037187531861829,0.0,1.0,28336,6073
,12,0.6501978635787964,1.412443213882681,0.8098610065447043,0.0,1.0,28336,6073
,13,0.6588414907455444,1.394883397195788,0.814298577744313,0.0,0.1,28336,6073
,14,0.6625047326087952,1.387374250195083,0.8167618106195336,0.0,0.1,28336,6073
,15,0.6661103963851929,1.379943284790459,0.8185342115818109,0.0,1.0,28336,6073
,16,0.6654890775680542,1.381226616225657,0.8180896916909602,0.0,1.0,28336,6073
,17,0.6681994795799255,1.375619445332011,0.8187351165033235,0.0,0.1,28336,6073
,18,0.6726513504981995,1.366359743490449,0.8214268538963958,0.0,0.1,28336,6073
,19,0.6718548536300659,1.368021073312907,0.8212163911784955,0.0,1.0,28336,6073
,20,0.6680392622947693,1.375951524429533,0.8196305001125757,0.0,1.0,28336,6073
,21,0.6696350574493408,1.372640405779493,0.8198101629711256,0.0,0.1,28336,6073
,22,0.6674586534500122,1.377154266600444,0.818810605668593,0.0,0.1,28336,6073
,23,0.6649452447891235,1.382348882683536,0.8184609506722176,0.0,0.1,28336,6073
,24,0.6592959761619568,1.393953860987475,0.8171310619751454,0.0,0.1,28336,6073
,25,0.6508954763412476,1.411034096825615,0.811456757644909,0.0,0.1,28336,6073
,26,0.6417774558067322,1.429342259481182,0.806965407686071,0.0,0.1,28336,6073
,27,0.6327637434005737,1.447213319973566,0.8017256521639592,0.0,1.0,28336,6073
,28,0.6241179704666138,1.464149982195943,0.7966332190928914,0.0,0.1,28336,6073
,29,0.6154550313949585,1.480925879447956,0.7915565127191522,0.0,1.0,28336,6073
,30,0.5956685543060303,1.518547936329446,0.7779631613234158,0.0,1.0,28336,6073
,31,0.5874029397964478,1.533991170139091,0.7673950922252324,0.0,100.0,28336,6073
