Models,layer,accuracy,f1,auc,n_matched_pairs
,29,0.952463912394226,0.951828499369483,0.9888342181437884,13391
,30,0.9497262319561972,0.9488866396761132,0.9890207852617428,13391
,31,0.9527127924340468,0.952020202020202,0.988304248601552,13391
,32,0.948730711796914,0.9480846774193548,0.988192011012663,13391
,33,0.9492284718765556,0.9487179487179488,0.9878253186692734,13391
,34,0.9430064708810352,0.9429638854296388,0.9873964372865658,13391
,35,0.9355400696864112,0.9349409696056268,0.9832523182760704,13391
Llama-3.2-1B,0,0.8427078148332504,0.8368611254517295,0.9220863010430168,13391
,1,0.9148830263812844,0.913853904282116,0.973731944428271,13391
,2,0.9422598307615728,0.9417378201908588,0.9871283554517364,13391
,3,0.9586859133897462,0.9585414585414586,0.9924089729616428,13391
,4,0.9584370333499254,0.9582604348912772,0.9923950981162172,13391
,5,0.960179193628671,0.9601593625498008,0.9941795023439816,13391
,6,0.9649079143852664,0.9648991784914116,0.9946170555050804,13391
,7,0.9636635141861624,0.9636996519144704,0.9936069172050808,13391
,8,0.964161274265804,0.9640718562874252,0.993807111403364,13391
,9,0.9624191139870584,0.9625217175477786,0.9934760972339256,13391
,10,0.9584370333499254,0.9582395598899724,0.9929191212961288,13391
,11,0.957441513190642,0.9573033707865168,0.9921364313550692,13391
,12,0.9552015928322548,0.9550898203592816,0.9917310876565658,13391
,13,0.9556993529118964,0.9555888223552894,0.9908190643349328,13391
,14,0.9544549527127923,0.954307116104869,0.9908515215626248,13391
,15,0.9514683922349428,0.9509187012333248,0.9896446577756988,13391
SmolLM2-360M,0,0.6762070681931309,0.658619784833377,0.7478576371485113,13391
,1,0.7954206072672971,0.7942942942942943,0.8834500595998941,13391
,2,0.8494275759084121,0.8496894409937888,0.9274077997939092,13391
,3,0.8777999004479841,0.8760414036859379,0.9434080981030856,13391
,4,0.8857640617222499,0.8858492912210892,0.9506826052301725,13391
,5,0.8872573419611747,0.8866082603254067,0.951408804729142,13391
,6,0.888252862120458,0.888833869769745,0.9559000426403732,13391
,7,0.8972125435540069,0.8952574182094851,0.9590379875924196,13391
,8,0.8924838227974117,0.8904665314401623,0.959195813959135,13391
