Models,layer,accuracy,precision,recall,f1,auc,n_high,n_low
,2,0.8757115749525617,0.926657263751763,0.8197130380536494,0.8699106256206555,0.9489243428673866,10686,10393
,3,0.9022770398481972,0.930186170212766,0.8727386150966937,0.9005471515931767,0.9634000873122356,10686,10393
,4,0.922517394054396,0.962534059945504,0.8814722395508422,0.9202214262455226,0.9739339764240956,10686,10393
,5,0.9316888045540797,0.9645010046885466,0.8983156581409857,0.9302325581395348,0.9812386733181891,10686,10393
,6,0.939595192915876,0.9687915006640108,0.9101684341859014,0.938565455130267,0.9841045313929904,10686,10393
,7,0.9389626818469324,0.9577922077922078,0.9201497192763568,0.9385937002863506,0.9838280293084206,10686,10393
,8,0.9392789373814042,0.9485060394151305,0.9307548346849656,0.9395465994962215,0.9850960974791892,10686,10393
,9,0.939911448450348,0.953757225433526,0.9263880224578914,0.939873417721519,0.9844026414552252,10686,10393
,10,0.9411764705882352,0.9442006269592476,0.9394884591391142,0.9418386491557224,0.9849040265666082,10686,10393
,11,0.944022770398482,0.9484276729559749,0.940736119775421,0.9445662386470404,0.9847551716093582,10686,10393
,12,0.9506641366223908,0.9582013932868904,0.9438552713661884,0.9509742300439976,0.9871560580166197,10686,10393
,13,0.9522454142947502,0.9531835205992508,0.9525888958203368,0.9528861154446178,0.9873205187355172,10686,10393
,14,0.952561669829222,0.956057752667922,0.950093574547723,0.9530663329161452,0.9883328925039124,10686,10393
,15,0.952561669829222,0.965406790518898,0.9401122894572675,0.9525916561314792,0.9871062396236692,10686,10393
,16,0.952561669829222,0.9572057898049088,0.9488459139114162,0.9530075187969924,0.98867261793054,10686,10393
,17,0.9490828589500316,0.9551767676767676,0.9438552713661884,0.9494822717288988,0.9885641778944788,10686,10393
,18,0.952561669829222,0.96660244059088,0.9388646288209608,0.9525316455696202,0.9884741446542064,10686,10393
,19,0.9506641366223908,0.9485430874147552,0.9544603867747972,0.9514925373134328,0.9897286078020006,10686,10393
,20,0.9531941808981658,0.9584120982986768,0.9488459139114162,0.9536050156739811,0.9890975748246252,10686,10393
,21,0.9538266919671096,0.9654952076677316,0.9426076107298814,0.9539141414141414,0.9885261638596968,10686,10393
,22,0.9541429475015812,0.9619771863117872,0.9469744229569556,0.9544168500471548,0.9894897196044778,10686,10393
,23,0.9516129032258064,0.9554020100502512,0.9488459139114162,0.952112676056338,0.9880151752026848,10686,10393
,24,0.9465528146742568,0.9643782383419688,0.9288833437305052,0.946298061646012,0.9883284908788326,10686,10393
,25,0.9487666034155596,0.958041958041958,0.9401122894572675,0.948992443324937,0.9862673298981984,10686,10393
,26,0.9475015812776724,0.9510357815442562,0.9451029320024952,0.9480600750938674,0.9841929640423244,10686,10393
,27,0.9446552814674256,0.9565217391304348,0.9332501559575797,0.9447426586675088,0.9839200632873656,10686,10393
,28,0.9389626818469324,0.9519230769230768,0.9263880224578914,0.9389819791337338,0.980513605623196,10686,10393
,29,0.9421252371916508,0.94375,0.941983780411728,0.9428660630658756,0.9820017550479636,10686,10393
,30,0.9443390259329538,0.9495904221802144,0.9401122894572675,0.9448275862068966,0.9814751606293044,10686,10393
,31,0.9402277039848196,0.9380421313506816,0.944479101684342,0.9412496114392293,0.9806892704786608,10686,10393
,32,0.9408602150537636,0.946969696969697,0.9357454772301934,0.9413241292751804,0.9822386425068134,10686,10393
,33,0.9427577482605946,0.946047678795483,0.940736119775421,0.9433844228964654,0.9820705804583052,10686,10393
,34,0.9443390259329538,0.9467752035065748,0.9432314410480348,0.945,0.9828444661769126,10686,10393
,35,0.9348513598987982,0.9526895657809462,0.9170305676855895,0.9345200254291164,0.9849820553748444,10686,10393
Qwen2.5-3B,0,0.8608247422680413,0.876004016064257,0.8450363196125908,0.860241557801331,0.9407834237456868,13768,13391
,1,0.8949435444280806,0.8944578313253012,0.8987893462469734,0.8966183574879227,0.9595423499819816,13768,13391
,2,0.912616593028964,0.9313478041393236,0.8934624697336562,0.912011863568957,0.9690635481736544,13768,13391
,3,0.9258713794796268,0.9508951406649616,0.9002421307506053,0.9248756218905472,0.9744570739179744,13768,13391
,4,0.9236622484045164,0.9371884346959124,0.910411622276029,0.9236059936133628,0.9763051739327988,13768,13391
,5,0.9278350515463918,0.937283950617284,0.9191283292978208,0.928117359413203,0.9767043461806858,13768,13391
,6,0.929553264604811,0.9213270142180094,0.9414043583535108,0.93125748502994,0.9792500334451386,13768,13391
,7,0.9334806087383408,0.9350145489815712,0.9336561743341404,0.9343348679428156,0.9792100198019325,13768,13391
,8,0.9391261659302896,0.9361497839654344,0.9443099273607748,0.940212150433944,0.9805229976003867,13768,13391
,9,0.9378988708885616,0.9419512195121952,0.9351089588377725,0.9385176184690158,0.983576327832261,13768,13391
,10,0.9398625429553265,0.9362416107382552,0.9457627118644067,0.9409780775716696,0.9833311840061127,13768,13391
,11,0.942562592047128,0.9459327812956648,0.9404358353510897,0.9431762991743564,0.9845484665253332,13768,13391
,12,0.945753559155621,0.949317738791423,0.9433414043583536,0.9463201360213748,0.9858778354547394,13768,13391
,13,0.9459990181639666,0.9437229437229436,0.9501210653753026,0.946911196911197,0.9858128735460404,13768,13391
,14,0.9486990672557682,0.9470134874759152,0.9520581113801452,0.9495290992513884,0.9869113203658596,13768,13391
,15,0.9509081983308788,0.9551000488042948,0.9476997578692494,0.9513855128828392,0.9868124914880616,13768,13391
,16,0.9486990672557682,0.9500484966052376,0.9486682808716708,0.9493578870850496,0.9875699786794776,13768,13391
,17,0.9506627393225332,0.9568627450980391,0.945278450363196,0.9510353227771012,0.9884342492681238,13768,13391
,18,0.952626411389298,0.9592737978410206,0.946731234866828,0.952961247867414,0.989167149763112,13768,13391
