Models,layer,acc_mean,acc_std,f1_mean,f1_std,freq_diff_mean,freq_diff_std,cohens_h_mean,cohens_h_std,n_seeds
,8,0.9581062165500208,0.0011822373714811,0.9581830900129752,0.00129602053438,0.0682778344905552,0.0034262262313443,0.3472150278100927,0.0079374000820498,5
,9,0.9587319884726224,0.0016683639544719,0.958510948546278,0.0017299351483847,0.0719322371362765,0.0070146810492579,0.333504311495428,0.0159479673731059,5
,12,0.9605269658295597,0.0012815200631268,0.9604626908807448,0.0013224198911202,0.0647506559465456,0.0102771891071219,0.3282504910008315,0.0588626077580807,5
,16,0.9622066694112804,0.0015509374627215,0.9621496361182214,0.0016901034259844,0.0663512498839965,0.0099086852394816,0.3557540537165197,0.0729838221025618,5
,18,0.9621737340469328,0.0012029300859777,0.96234060931126,0.0010178620216332,0.0625652360985733,0.0037573731030334,0.3664746378820317,0.0559359588359401,5
,20,0.9615644298065046,0.0009789618080001,0.9616929949932178,0.0009796091623841,0.0632890973669335,0.0048866180687401,0.3557502479157226,0.0273288817088978,5
,24,0.95876492383697,0.0023051225984088,0.9587243943407504,0.002357668546304,0.0728464283605132,0.0072699277576714,0.3658074631079254,0.0317215756502903,5
,27,0.9558501440922188,0.0017762210241243,0.955953545755312,0.0018867413956965,0.0718212113286819,0.0069540217727869,0.371418685043046,0.0338779316269999,5
,28,0.9550267599835324,0.0016561281958698,0.9551837889600304,0.0016597480803596,0.073005036657077,0.0104710148886667,0.37359941020358,0.0393314382434814,5
,32,0.9534623301770276,0.0018384896812782,0.9536339545773946,0.0019336148866911,0.0806999012916452,0.0097181156282888,0.4195218587944486,0.0396027450908045,5
,35,0.9508604363935776,0.002079366866057,0.950699185331666,0.0022175475454685,0.0846988551518167,0.0079935834037387,0.3869971213750854,0.0213059960054834,5
Llama-3.2-1B,0,0.7338657883902842,0.0033134024162775,0.7285123384836021,0.0040764584492573,0.3325334300731454,0.0141063804430781,0.7736845921250024,0.0328475956400999,5
,4,0.9596871140386992,0.0012130323168845,0.959682020096337,0.0011781343927152,0.0917174410069939,0.0080079802735087,0.4991086664621675,0.0400714351637335,5
,8,0.961729106628242,0.0019284773795368,0.9617856498773116,0.0018057040412674,0.0834573234006293,0.0055618644458993,0.4676849609221742,0.0385102482545585,5
,12,0.955916014820914,0.0011972809043585,0.9559209450346964,0.0013147596046371,0.0904371008428174,0.0077882487737193,0.4542038371147963,0.0222496736436238,5
,15,0.953676410045286,0.0019208688324085,0.9536526583171036,0.0018163591607664,0.0926785397912782,0.0061120773315874,0.4505658744970048,0.0277850029461705,5
SmolLM2-360M,0,0.6036722931247427,0.0052836886092959,0.5704606998817738,0.0155026927262839,0.1017397980275202,0.0260931016501465,0.2049207594052161,0.0516240963330576,5
,4,0.8278468505557843,0.0029159424847404,0.8224050001202204,0.004008458511512,0.2597011752199846,0.0208850880933086,0.6703047209125585,0.0541824741807666,5
,8,0.8696747632770687,0.0029098911632588,0.868045967271527,0.0042101187339365,0.2085793589862567,0.0201559728778472,0.6233663147436194,0.0496868212913375,5
