Models,layer,accuracy,f1_macro,chance
,9,0.7566276963609418,0.7558049822623815,0.3333333333333333
,10,0.7544870739338053,0.7538502184489949,0.3333333333333333
,11,0.7599209616334596,0.759115950372069,0.3333333333333333
,12,0.7587683187880784,0.7583159454746315,0.3333333333333333
,13,0.7605796146879631,0.7597575220123461,0.3333333333333333
,14,0.7612382677424666,0.7606559453354197,0.3333333333333333
,15,0.7534990943520501,0.7532322921100788,0.3333333333333333
,16,0.7546517371974313,0.7546376329560892,0.3333333333333333
,17,0.7569570228881937,0.7563592078036234,0.3333333333333333
,18,0.7584389922608266,0.7574721410673022,0.3333333333333333
,19,0.763708216696855,0.762820335589863,0.3333333333333333
,20,0.7602502881607114,0.7599851960865208,0.3333333333333333
,21,0.763543553433229,0.7627886637818747,0.3333333333333333
,22,0.7599209616334596,0.7590663884928225,0.3333333333333333
,23,0.7615675942697184,0.7604059114180893,0.3333333333333333
,24,0.762226247324222,0.7614370341883286,0.3333333333333333
,25,0.7581096657335749,0.7573998848322149,0.3333333333333333
,26,0.7528404412975466,0.7519590424847094,0.3333333333333333
,27,0.7589329820517042,0.7575683401346222,0.3333333333333333
,28,0.7485591964432735,0.7473784313577098,0.3333333333333333
,29,0.7503704923431582,0.7495073350981691,0.3333333333333333
,30,0.7446072781162523,0.7431617384213504,0.3333333333333333
,31,0.7497118392886547,0.7482363019274265,0.3333333333333333
,32,0.746418574016137,0.7445619744390943,0.3333333333333333
,33,0.742137329161864,0.7399538396840996,0.3333333333333333
,34,0.7495471760250288,0.7478228899836165,0.3333333333333333
,35,0.7260003293265272,0.7250677732015847,0.3333333333333333
Llama-3.2-1B,0,0.616169932488062,0.6128557350187055,0.3333333333333333
,1,0.6873044623744443,0.6845653561014992,0.3333333333333333
,2,0.7264943191174049,0.7244766494961045,0.3333333333333333
,3,0.7467479005433888,0.7452185015960024,0.3333333333333333
,4,0.7604149514243372,0.7592045587365233,0.3333333333333333
,5,0.7617322575333443,0.7607153623874301,0.3333333333333333
,6,0.7691421043965091,0.7686761507842162,0.3333333333333333
,7,0.7572863494154454,0.756789084292664,0.3333333333333333
,8,0.7645315330149843,0.7639213688084426,0.3333333333333333
